"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2024","199.59","208.27","210.66","198.16","19.54M","-4.50%"
"01-11-2024","209.00","209.00","209.77","207.53","55.33M","-2.13%"
"01-10-2024","213.54","233.49","234.47","209.70","44.82M","-8.18%"
"01-09-2024","232.56","222.85","243.56","222.81","45.04M","3.79%"
"01-08-2024","224.06","222.80","236.13","217.00","52.20M","1.66%"
"01-07-2024","220.40","194.40","223.46","191.55","37.76M","13.39%"
"01-06-2024","194.38","196.00","201.58","190.38","42.01M","-0.69%"
"01-05-2024","195.74","173.28","197.19","171.49","56.34M","14.09%"
"01-04-2024","171.56","196.55","196.58","170.46","59.49M","-13.17%"
"01-03-2024","197.59","198.90","209.61","191.55","45.03M","-0.64%"
"01-02-2024","198.86","195.34","200.80","181.16","51.93M","1.64%"
"01-01-2024","195.65","214.41","219.10","194.75","45.61M","-9.37%"
"01-12-2023","215.88","208.40","218.48","203.58","40.98M","3.40%"
"01-11-2023","208.78","178.48","208.96","177.00","47.17M","17.17%"
"01-10-2023","178.19","163.63","178.65","154.58","51.83M","8.36%"
"01-09-2023","164.45","182.49","183.53","158.17","44.08M","-9.30%"
"01-08-2023","181.32","190.75","192.35","172.55","39.27M","-4.72%"
"01-07-2023","190.31","193.40","200.81","179.21","49.70M","-1.87%"
"01-06-2023","193.94","184.19","195.30","184.15","47.69M","5.15%"
"01-05-2023","184.44","203.29","203.99","178.53","45.97M","-9.76%"
"01-04-2023","204.39","203.19","213.48","199.12","35.78M","0.02%"
"01-03-2023","204.34","196.52","207.65","189.37","50.46M","3.20%"
"01-02-2023","198.01","221.89","235.49","192.96","39.77M","-11.36%"
"01-01-2023","223.39","214.00","235.57","210.93","38.20M","5.44%"
"01-12-2022","211.86","224.42","227.97","205.76","36.49M","-4.24%"
"01-11-2022","221.25","209.41","225.44","199.14","41.00M","6.79%"
"01-10-2022","207.19","216.89","224.34","178.17","52.86M","-3.50%"
"01-09-2022","214.70","252.94","265.56","211.38","36.50M","-15.49%"
"01-08-2022","254.05","270.28","282.47","252.70","30.44M","-6.20%"
"01-07-2022","270.83","254.53","273.95","248.19","29.44M","5.96%"
"01-06-2022","255.59","256.13","271.09","232.12","55.29M","-0.21%"
