"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2024","79.99","81.97","83.29","78.71","8.35M","-2.44%"
"01-11-2024","81.99","81.52","84.75","77.28","25.55M","1.78%"
"01-10-2024","80.56","80.41","90.11","78.77","25.43M","0.12%"
"01-09-2024","80.46","74.71","83.85","73.07","23.83M","6.97%"
"01-08-2024","75.22","72.37","75.73","62.49","23.39M","5.48%"
"01-07-2024","71.31","61.60","73.37","59.71","28.51M","15.84%"
"01-06-2024","61.56","60.79","62.70","58.16","24.09M","1.47%"
"01-05-2024","60.67","58.00","65.83","56.46","24.71M","-1.97%"
"01-04-2024","61.89","65.35","65.50","57.06","26.15M","-5.24%"
"01-03-2024","65.31","64.63","66.95","60.75","28.01M","0.91%"
"01-02-2024","64.72","66.56","68.12","60.75","30.34M","-2.68%"
"01-01-2024","66.50","70.55","72.72","65.71","33.54M","-5.23%"
"01-12-2023","70.17","57.02","73.97","56.47","33.15M","23.26%"
"01-11-2023","56.93","53.54","59.91","50.64","36.29M","6.27%"
"01-10-2023","53.57","59.45","59.79","51.29","34.48M","-9.94%"
"01-09-2023","59.48","67.28","67.75","57.35","28.74M","-10.92%"
"01-08-2023","66.77","66.50","69.95","61.87","31.56M","0.21%"
"01-07-2023","66.63","57.48","67.36","55.44","33.92M","15.70%"
"01-06-2023","57.59","48.67","58.49","47.58","39.84M","18.33%"
"01-05-2023","48.67","53.21","53.91","46.80","34.34M","-8.79%"
"01-04-2023","53.36","54.39","55.30","49.72","33.07M","-1.40%"
"01-03-2023","54.12","64.99","67.09","46.18","58.53M","-17.35%"
"01-02-2023","65.48","71.85","79.42","65.43","22.86M","-12.15%"
"01-01-2023","74.54","68.15","74.59","64.03","26.81M","10.30%"
"01-12-2022","67.58","72.55","73.58","64.43","37.54M","-6.24%"
"01-11-2022","72.08","73.50","76.90","69.22","34.43M","-0.85%"
"01-10-2022","72.70","76.65","78.30","68.80","34.19M","-3.03%"
"01-09-2022","74.97","79.00","87.61","73.18","34.19M","-5.62%"
"01-08-2022","79.43","90.61","90.89","79.24","23.57M","-12.87%"
"01-07-2022","91.16","88.96","91.71","84.86","26.75M","2.45%"
"01-06-2022","88.98","111.62","111.62","87.61","23.41M","-19.97%"
"01-05-2022","111.18","117.99","123.43","102.49","20.62M","-5.46%"
